project_code,project_name,sector,ministry,implementing_agency,state,original_cost,revised_cost,expenditure,physical_progress,sanction_date,original_doc,revised_doc,snapshot_date,target_final_delay_months,target_cost_overrun_pct,target_is_high_risk,snapshot_year_month
PAIM-1001,Project PAIM-1001 - Bridge Construction,Petroleum & Natural Gas,Ministry of Petroleum and Natural Gas,NHPC,Madhya Pradesh,5148.8,5148.8,1362.92,23.2,2007-10-01,2009-11-19,2009-11-19,2008-07-27,12,4.29,1,2008_07
PAIM-1001,Project PAIM-1001 - Bridge Construction,Petroleum & Natural Gas,Ministry of Petroleum and Natural Gas,NHPC,Madhya Pradesh,5148.8,5234.66,3045.31,52.9,2007-10-01,2009-11-19,2010-07-28,2009-03-24,12,4.29,1,2009_03
PAIM-1001,Project PAIM-1001 - Bridge Construction,Petroleum & Natural Gas,Ministry of Petroleum and Natural Gas,NHPC,Madhya Pradesh,5148.8,5283.73,4233.94,87.7,2007-10-01,2009-11-19,2010-07-28,2009-11-19,12,4.29,1,2009_11
PAIM-1001,Project PAIM-1001 - Bridge Construction,Petroleum & Natural Gas,Ministry of Petroleum and Natural Gas,NHPC,Madhya Pradesh,5148.8,5332.79,4341.39,90.0,2007-10-01,2009-11-19,2010-07-28,2010-07-17,12,4.29,1,2010_07
PAIM-1001,Project PAIM-1001 - Bridge Construction,Petroleum & Natural Gas,Ministry of Petroleum and Natural Gas,NHPC,Madhya Pradesh,5148.8,5369.59,4242.43,87.3,2007-10-01,2009-11-19,2010-07-28,2011-03-14,12,4.29,1,2011_03
PAIM-1001,Project PAIM-1001 - Bridge Construction,Petroleum & Natural Gas,Ministry of Petroleum and Natural Gas,NHPC,Madhya Pradesh,5148.8,5369.59,4280.95,84.7,2007-10-01,2009-11-19,2010-07-28,2011-11-09,12,4.29,1,2011_11
PAIM-1001,Project PAIM-1001 - Bridge Construction,Petroleum & Natural Gas,Ministry of Petroleum and Natural Gas,NHPC,Madhya Pradesh,5148.8,5369.59,4435.77,82.0,2007-10-01,2009-11-19,2010-07-28,2012-07-06,12,4.29,1,2012_07
PAIM-1001,Project PAIM-1001 - Bridge Construction,Petroleum & Natural Gas,Ministry of Petroleum and Natural Gas,NHPC,Madhya Pradesh,5148.8,5369.59,4171.15,79.3,2007-10-01,2009-11-19,2010-07-28,2013-03-03,12,4.29,1,2013_03
PAIM-1001,Project PAIM-1001 - Bridge Construction,Petroleum & Natural Gas,Ministry of Petroleum and Natural Gas,NHPC,Madhya Pradesh,5148.8,5369.59,3860.53,76.7,2007-10-01,2009-11-19,2010-07-28,2013-10-29,12,4.29,1,2013_10
PAIM-1001,Project PAIM-1001 - Bridge Construction,Petroleum & Natural Gas,Ministry of Petroleum and Natural Gas,NHPC,Madhya Pradesh,5148.8,5369.59,4106.83,74.0,2007-10-01,2009-11-19,2010-07-28,2014-06-26,12,4.29,1,2014_06
PAIM-1001,Project PAIM-1001 - Bridge Construction,Petroleum & Natural Gas,Ministry of Petroleum and Natural Gas,NHPC,Madhya Pradesh,5148.8,5369.59,3414.46,71.3,2007-10-01,2009-11-19,2010-07-28,2015-02-21,12,4.29,1,2015_02
PAIM-1001,Project PAIM-1001 - Bridge Construction,Petroleum & Natural Gas,Ministry of Petroleum and Natural Gas,NHPC,Madhya Pradesh,5148.8,5369.59,3458.88,68.7,2007-10-01,2009-11-19,2010-07-28,2015-10-19,12,4.29,1,2015_10
PAIM-1002,Project PAIM-1002 - Bridge Construction,Water Resources,Ministry of Jal Shakti,NTPC,Telangana,4443.86,4443.86,1038.97,21.4,2003-05-01,2007-06-09,2007-06-09,2004-02-25,0,4.8,0,2004_02
PAIM-1002,Project PAIM-1002 - Bridge Construction,Water Resources,Ministry of Jal Shakti,NTPC,Telangana,4443.86,4443.86,1585.5,37.9,2003-05-01,2007-06-09,2007-06-09,2004-10-22,0,4.8,0,2004_10
PAIM-1002,Project PAIM-1002 - Bridge Construction,Water Resources,Ministry of Jal Shakti,NTPC,Telangana,4443.86,4443.86,2094.42,53.6,2003-05-01,2007-06-09,2007-06-09,2005-06-19,0,4.8,0,2005_06
PAIM-1002,Project PAIM-1002 - Bridge Construction,Water Resources,Ministry of Jal Shakti,NTPC,Telangana,4443.86,4443.86,3226.36,68.8,2003-05-01,2007-06-09,2007-06-09,2006-02-14,0,4.8,0,2006_02
PAIM-1002,Project PAIM-1002 - Bridge Construction,Water Resources,Ministry of Jal Shakti,NTPC,Telangana,4443.86,4443.86,3648.37,83.6,2003-05-01,2007-06-09,2007-06-09,2006-10-12,0,4.8,0,2006_10
PAIM-1002,Project PAIM-1002 - Bridge Construction,Water Resources,Ministry of Jal Shakti,NTPC,Telangana,4443.86,4443.86,3869.06,98.2,2003-05-01,2007-06-09,2007-06-09,2007-06-09,0,4.8,0,2007_06
