project_code,project_name,sector,ministry,implementing_agency,state,original_cost,revised_cost,expenditure,physical_progress,sanction_date,original_doc,revised_doc,snapshot_date,target_final_delay_months,target_cost_overrun_pct,target_is_high_risk
PAIM-618977,"Development of New Greenfield Airport at Bundi, Kota Rajasthan. (Airport Authority of India [AAI]) (618977)",Infrastructure & Highways,Ministry of Civil Aviation,618977,Odisha,863.47,863.47,90.43,10.5,2023-03-01,2026-12-31,2028-12-31,2025-12-01,36,0.0,0
PAIM-618982,Talabira II & III OCP - FMC (NLC India Limited [NLCIL]) (618982),Infrastructure & Highways,Ministry of Civil Aviation,618982,Odisha,1622.85,1622.85,1093.71,67.4,2023-03-01,2026-12-31,2028-12-31,2025-12-01,24,0.0,0
PAIM-618991,200 MW SPP part of 510 MW CPSU scheme (NLC India Limited [NLCIL]) (618991),Infrastructure & Highways,Ministry of Civil Aviation,618991,Odisha,489.69,489.69,290.83,59.4,2022-03-01,2026-12-31,2026-12-31,2025-12-01,12,0.0,0
PAIM-618992,100 MW SPP part of SECI 150 MW Hybrid (NLC India Limited [NLCIL]) (618992),Infrastructure & Highways,Ministry of Civil Aviation,618992,Gujarat,682.36,682.36,125.07,18.3,2020-03-01,2026-12-31,2026-12-31,2025-12-01,6,0.0,0
PAIM-701172,AIIMS Darbhanga (PMSSY AND Institute of NATIONAL Importance) (701172),Infrastructure & Highways,Ministry of Civil Aviation,701172,Gujarat,1268.02,1268.02,832.52,65.7,2021-03-01,2026-12-31,2028-12-31,2025-12-01,24,0.0,0
PAIM-701170,AIIMS Rajkot (PMSSY AND Institute of NATIONAL Importance) (701170),Infrastructure & Highways,Ministry of Civil Aviation,701170,Gujarat,1816.14,1816.14,953.79,52.5,2021-03-01,2025-12-31,2028-12-31,2025-12-01,12,0.0,0
PAIM-701168,ALL India Institute of Medical Sciences-AIIMS  Madurai (PMSSY AND Institute of NATIONAL Importance) (701168),Infrastructure & Highways,Ministry of Civil Aviation,701168,Gujarat,667.76,667.76,508.99,76.2,2020-03-01,2027-12-31,2026-12-31,2025-12-01,0,0.0,0
PAIM-618985,Nal Stop - Warje - Manikbaug (Maharashtra Metro Rail Corporation Limited [MMRCL]) (618985),Infrastructure & Highways,Ministry of Civil Aviation,618985,Maharashtra,3769.69,3769.69,1758.79,46.7,2021-03-01,2026-12-31,2026-12-31,2025-12-01,36,0.0,0
PAIM-618976,"Gadarwara Super Thermal Power Project, Stage-II [3x800 MW] (National Thermal Power Corporation [NTPC]) (618976)",Infrastructure & Highways,Ministry of Civil Aviation,618976,Madhya Pradesh,704.73,704.73,112.92,16.0,2021-03-01,2025-12-31,2027-12-31,2025-12-01,36,0.0,0
PAIM-618986,Furkating-New Tinsukia[194 Km] (Northeast Frontier Railway [NFR]) (618986),Infrastructure & Highways,Ministry of Civil Aviation,618986,Gujarat,3552.47,3552.47,1336.56,37.6,2022-03-01,2027-12-31,2027-12-31,2025-12-01,36,0.0,0
PAIM-618972,Devbhumi Dwarka [Okha] - Kanalus Doubling (Western Railway (WR) - II) (618972),Infrastructure & Highways,Ministry of Civil Aviation,618972,Gujarat,3835.45,3835.45,3065.31,79.9,2023-03-01,2025-12-31,2028-12-31,2025-12-01,36,0.0,0
PAIM-705941,Bangalore Suburban Railway Project (Karnataka Rail Infrastructure Development Company Limited [K-RIDE]) (705941),Infrastructure & Highways,Ministry of Civil Aviation,705941,Gujarat,3718.57,3718.57,2314.47,62.2,2020-03-01,2025-12-31,2026-12-31,2025-12-01,6,0.0,0
PAIM-617245,Katihar Kumedpur & Katihar Mukuria BG Doubling Project (Northeast Frontier Railway [NFR]) (617245),Infrastructure & Highways,Ministry of Civil Aviation,617245,Karnataka,1328.86,1328.86,389.31,29.3,2022-03-01,2027-12-31,2028-12-31,2025-12-01,24,0.0,0
PAIM-618978,Gondia - Dongargarh 4th line [84 Km] (South Eastern Central Railway) (618978),Infrastructure & Highways,Ministry of Civil Aviation,618978,Maharashtra,934.43,934.43,720.81,77.1,2021-03-01,2025-12-31,2027-12-31,2025-12-01,18,0.0,0
PAIM-400006,Barpali. (South Eastern Railway [SER] - I) (400006),Infrastructure & Highways,Ministry of Civil Aviation,400006,Maharashtra,2298.83,2298.83,1334.68,58.1,2021-03-01,2026-12-31,2026-12-31,2025-12-01,6,0.0,0
PAIM-400047,exchange yard and NTPC Block Cabin. (East Coast Railway [ECoR] - II) (400047),Infrastructure & Highways,Ministry of Civil Aviation,400047,Odisha,3941.32,3941.32,2071.4,52.6,2020-03-01,2026-12-31,2027-12-31,2025-12-01,12,0.0,0
PAIM-400048,Doubling of lines connecting the loading spurs in Talcher Yard. (East Coast Railway [ECoR] - II) (400048),Infrastructure & Highways,Ministry of Civil Aviation,400048,Odisha,370.2,370.2,175.98,47.5,2021-03-01,2026-12-31,2026-12-31,2025-12-01,24,0.0,0
PAIM-616694,Flyover between Siju and Paradeep coaching Yard to avoid Surface crossing of trains (East Coast Railway [ECoR] - II) (61,Infrastructure & Highways,Ministry of Civil Aviation,616694,Odisha,1138.65,1138.65,189.59,16.7,2023-03-01,2025-12-31,2028-12-31,2025-12-01,18,0.0,0
PAIM-618995,New Line between Junagarh - Nabarangpur [116.21 Km] (Indian Railway) (618995),Infrastructure & Highways,Ministry of Civil Aviation,618995,Odisha,221.9,221.9,154.81,69.8,2023-03-01,2027-12-31,2026-12-31,2025-12-01,18,0.0,0
PAIM-617213,Rail-cum-Road Bridge across Ganga River. (Northern Railways) (617213),Infrastructure & Highways,Ministry of Civil Aviation,617213,Odisha,2515.29,2515.29,1539.71,61.2,2020-03-01,2025-12-31,2026-12-31,2025-12-01,0,0.0,0
PAIM-706724,Guwahati Airport New Integrated Terminal Building Construction Project (Adani Airport Holdings Limited) (706724),Infrastructure & Highways,Ministry of Civil Aviation,706724,Assam,3930.69,3930.69,444.45,11.3,2021-03-01,2025-12-31,2027-12-31,2025-12-01,0,0.0,0
PAIM-706718,C/o NITB Imphal Airport (Airport Authority of India [AAI]) (706718),Infrastructure & Highways,Ministry of Civil Aviation,706718,Assam,1799.67,1799.67,1527.83,84.9,2022-03-01,2026-12-31,2028-12-31,2025-12-01,24,0.0,0
PAIM-612793,with integrated 10 years maintenance. (Airport Authority of India [AAI]) (612793),Infrastructure & Highways,Ministry of Civil Aviation,612793,Assam,1725.48,1725.48,1014.38,58.8,2021-03-01,2026-12-31,2026-12-31,2025-12-01,12,0.0,0
PAIM-615820,TIKAK EXTENSION OCP (MIS MoCoal Integration Logins) (615820),Infrastructure & Highways,Ministry of Civil Aviation,615820,Assam,2416.8,2416.8,607.71,25.1,2021-03-01,2025-12-31,2028-12-31,2025-12-01,6,0.0,0
PAIM-615821,TIRAP OCP (MIS MoCoal Integration Logins) (615821),Infrastructure & Highways,Ministry of Civil Aviation,615821,Assam,772.78,772.78,382.53,49.5,2023-03-01,2027-12-31,2027-12-31,2025-12-01,6,0.0,0
PAIM-612898,"Pradesh (National Institute of Technology, Arunachal Pradesh) (612898)",Infrastructure & Highways,Ministry of Civil Aviation,612898,Assam,1514.39,1514.39,221.07,14.6,2022-03-01,2025-12-31,2027-12-31,2025-12-01,36,0.0,0
PAIM-606112,Tezpur University Projects (Tezpur University) (606112),Infrastructure & Highways,Ministry of Civil Aviation,606112,Assam,3903.74,3903.74,2132.68,54.6,2021-03-01,2026-12-31,2028-12-31,2025-12-01,0,0.0,0
PAIM-612885,"Permanent Campus at Sohra (National Institute of Technology, Meghalaya) (612885)",Infrastructure & Highways,Ministry of Civil Aviation,612885,Multi-State,487.6,487.6,239.18,49.1,2023-03-01,2025-12-31,2027-12-31,2025-12-01,36,0.0,0
PAIM-612876,"Construction of Permanent Campus for NIT Mizoram at Lengpui, Aizawl (NIT Mizoram) (612876)",Infrastructure & Highways,Ministry of Civil Aviation,612876,Multi-State,2708.34,2708.34,1600.21,59.1,2022-03-01,2026-12-31,2028-12-31,2025-12-01,18,0.0,0
PAIM-613013,Establishment of NIT Nagaland (NIT Nagaland) (613013),Infrastructure & Highways,Ministry of Civil Aviation,613013,Multi-State,2421.2,2421.2,1149.85,47.5,2021-03-01,2026-12-31,2027-12-31,2025-12-01,12,0.0,0
