project_code,project_name,sector,ministry,implementing_agency,state,original_cost,revised_cost,expenditure,physical_progress,sanction_date,original_doc,revised_doc,snapshot_date,target_final_delay_months,target_cost_overrun_pct,target_is_high_risk
PAIM-707414,Development - Phase 1 (National Industrial Corridor Development Corporation) (707414),Infrastructure & Highways,Ministry of Health & Family Welfare,707414,Uttar Pradesh,3600.97,3600.97,1750.74,48.6,2024-03-01,2028-12-31,2027-12-31,2026-05-01,36,0.0,0
PAIM-603210,Development of Jodhpur Pali Marwar Industrial Area JPMIA in Rajasthan (National Industrial Corridor Development Corporat,Infrastructure & Highways,Ministry of Health & Family Welfare,603210,Rajasthan,3829.08,3829.08,2275.46,59.4,2022-03-01,2028-12-31,2027-12-31,2026-05-01,12,0.0,0
PAIM-706965,"Establishment of new GMC Saran [Chhapara] (Medical Education, Ministry of Health and Family Welfare) (706965)",Infrastructure & Highways,Ministry of Health & Family Welfare,706965,Bihar,1521.32,1521.32,889.85,58.5,2022-03-01,2028-12-31,2028-12-31,2026-05-01,24,0.0,0
PAIM-706966,"Establishment of new GMC Samastipur (Medical Education, Ministry of Health and Family Welfare) (706966)",Infrastructure & Highways,Ministry of Health & Family Welfare,706966,Bihar,1269.08,1269.08,996.26,78.5,2024-03-01,2027-12-31,2027-12-31,2026-05-01,18,0.0,0
PAIM-707016,"Establishment of new GMC Sitamarhi (Medical Education, Ministry of Health and Family Welfare) (707016)",Infrastructure & Highways,Ministry of Health & Family Welfare,707016,Bihar,2799.26,2799.26,1082.47,38.7,2022-03-01,2028-12-31,2027-12-31,2026-05-01,18,0.0,0
PAIM-707017,"Establishment of new GMC Jhanjharpur (Medical Education, Ministry of Health and Family Welfare) (707017)",Infrastructure & Highways,Ministry of Health & Family Welfare,707017,Bihar,866.67,866.67,401.87,46.4,2022-03-01,2027-12-31,2027-12-31,2026-05-01,24,0.0,0
PAIM-707018,"Establishment of new GMC Siwan (Medical Education, Ministry of Health and Family Welfare) (707018)",Infrastructure & Highways,Ministry of Health & Family Welfare,707018,Bihar,625.01,625.01,62.74,10.0,2024-03-01,2028-12-31,2027-12-31,2026-05-01,18,0.0,0
PAIM-707019,"Establishment of new GMC Buxar (Medical Education, Ministry of Health and Family Welfare) (707019)",Infrastructure & Highways,Ministry of Health & Family Welfare,707019,Bihar,2181.8,2181.8,1213.54,55.6,2024-03-01,2028-12-31,2029-12-31,2026-05-01,36,0.0,0
PAIM-707051,"Establishment of new GMc Udhampur (Medical Education, Ministry of Health and Family Welfare) (707051)",Infrastructure & Highways,Ministry of Health & Family Welfare,707051,Bihar,523.79,523.79,200.43,38.3,2024-03-01,2028-12-31,2028-12-31,2026-05-01,24,0.0,0
PAIM-707052,"Establishment of new GMC Handwara [Distt. Kupwara] (Medical Education, Ministry of Health and Family Welfare) (707052)",Infrastructure & Highways,Ministry of Health & Family Welfare,707052,Multi-State,1351.08,1351.08,1050.95,77.8,2021-03-01,2027-12-31,2027-12-31,2026-05-01,24,0.0,0
