project_code,project_name,sector,ministry,implementing_agency,state,original_cost,revised_cost,expenditure,physical_progress,sanction_date,original_doc,revised_doc,snapshot_date,target_final_delay_months,target_cost_overrun_pct,target_is_high_risk
PAIM-1042,Project PAIM-1042 - Thermal Power Unit,Urban Infrastructure & Metro,Ministry of Housing and Urban Affairs,GAIL,Odisha,7643.54,11004.06,7207.18,60.0,2002-12-01,2007-12-05,2012-09-11,2009-08-26,83,43.97,1
PAIM-1059,Project PAIM-1059 - Metro Line Phase II,Water Resources,Ministry of Jal Shakti,CPWD,Maharashtra,911.22,911.22,51.87,5.5,2008-11-01,2014-01-04,2014-01-04,2009-08-28,16,21.11,1
PAIM-1073,Project PAIM-1073 - Thermal Power Unit,Telecommunications,Ministry of Communications,Coal India Limited,Telangana,8121.41,8121.41,7121.57,100.0,2004-11-01,2007-12-16,2007-12-16,2009-08-07,0,-0.8,0
PAIM-1089,Project PAIM-1089 - Expressway,Urban Infrastructure & Metro,Ministry of Housing and Urban Affairs,Indian Railways,Rajasthan,943.35,943.35,224.45,22.6,2008-11-01,2012-09-11,2012-09-11,2009-08-28,0,4.5,0
PAIM-1099,Project PAIM-1099 - Gas Pipeline Expansion,Telecommunications,Ministry of Communications,NHAI,Maharashtra,8337.32,9205.75,5917.68,74.0,2002-12-01,2007-08-07,2008-05-06,2009-08-26,13,10.42,1
PAIM-1109,Project PAIM-1109 - Expressway,Petroleum & Natural Gas,Ministry of Petroleum and Natural Gas,NTPC,Maharashtra,690.14,690.14,687.59,100.0,2001-08-01,2005-04-12,2005-04-12,2009-08-19,0,3.4,0
PAIM-1145,Project PAIM-1145 - Metro Line Phase II,Road Transport & Highways,Ministry of Road Transport and Highways,NHAI,Tamil Nadu,6681.13,7785.04,5385.77,65.0,2003-08-01,2008-08-04,2010-10-10,2009-08-29,38,16.52,1
PAIM-1161,Project PAIM-1161 - Gas Pipeline Expansion,Water Resources,Ministry of Jal Shakti,RVNL,Assam,6050.4,6050.4,5231.16,100.0,2004-11-01,2007-11-16,2007-11-16,2009-08-07,0,0.7,0
PAIM-1175,Project PAIM-1175 - Gas Pipeline Expansion,Urban Infrastructure & Metro,Ministry of Housing and Urban Affairs,POWERGRID,Madhya Pradesh,3249.27,3816.4,1018.01,26.5,2006-03-01,2011-10-01,2015-01-30,2009-08-12,58,17.45,1
PAIM-1242,Project PAIM-1242 - Railway Line Electrification,Urban Infrastructure & Metro,Ministry of Housing and Urban Affairs,ONGC,Haryana,4939.25,5700.9,3815.97,74.0,2002-12-01,2007-04-09,2008-03-30,2009-08-26,17,15.42,1
PAIM-1247,Project PAIM-1247 - Solar Park Development,Road Transport & Highways,Ministry of Road Transport and Highways,Indian Railways,Punjab,3671.3,3671.3,3671.3,100.0,2002-04-01,2005-09-12,2005-09-12,2009-08-22,0,0.2,0
PAIM-1302,Project PAIM-1302 - Thermal Power Unit,Urban Infrastructure & Metro,Ministry of Housing and Urban Affairs,NHPC,Maharashtra,6108.62,6108.62,5232.09,100.0,2001-08-01,2003-08-21,2003-08-21,2009-08-19,0,0.1,0
PAIM-1311,Project PAIM-1311 - Gas Pipeline Expansion,Water Resources,Ministry of Jal Shakti,NHPC,Bihar,6111.55,6111.55,5742.89,100.0,2002-04-01,2005-12-11,2005-12-11,2009-08-22,0,2.1,0
PAIM-1348,Project PAIM-1348 - Gas Pipeline Expansion,Water Resources,Ministry of Jal Shakti,NHPC,Rajasthan,7354.14,8930.92,4632.84,60.0,2001-08-01,2004-06-16,2006-06-21,2009-08-19,35,21.44,1
PAIM-1355,Project PAIM-1355 - Metro Line Phase II,Coal,Ministry of Coal,NHPC,Tamil Nadu,1223.64,1316.34,1069.45,90.0,2006-11-01,2009-05-19,2010-01-04,2009-08-17,11,9.09,1
PAIM-1386,Project PAIM-1386 - Expressway,Water Resources,Ministry of Jal Shakti,Coal India Limited,Punjab,2416.09,2812.78,1458.7,60.8,2001-08-01,2006-03-08,2008-06-03,2009-08-19,39,16.42,1
PAIM-1391,Project PAIM-1391 - Thermal Power Unit,Petroleum & Natural Gas,Ministry of Petroleum and Natural Gas,NTPC,Odisha,7413.91,7413.91,5196.25,64.2,2006-11-01,2011-04-09,2011-04-09,2009-08-17,0,3.1,0
PAIM-1403,Project PAIM-1403 - Thermal Power Unit,Telecommunications,Ministry of Communications,NHPC,Telangana,8126.28,8126.28,1276.12,18.4,2008-11-01,2013-09-06,2013-09-06,2009-08-28,0,-0.4,0
PAIM-1405,Project PAIM-1405 - Expressway,Urban Infrastructure & Metro,Ministry of Housing and Urban Affairs,RVNL,Punjab,5517.66,6990.15,4123.13,60.0,2003-08-01,2009-04-01,2011-05-18,2009-08-29,37,26.69,1
PAIM-1423,Project PAIM-1423 - Gas Pipeline Expansion,Coal,Ministry of Coal,NHAI,Bihar,4938.72,6242.62,3829.05,60.0,2002-04-01,2004-10-17,2006-10-22,2009-08-22,35,26.4,1
PAIM-1440,Project PAIM-1440 - Bridge Construction,Petroleum & Natural Gas,Ministry of Petroleum and Natural Gas,ONGC,Punjab,7947.72,7947.72,4522.87,56.7,2006-11-01,2011-12-05,2011-12-05,2009-08-17,0,0.9,0
PAIM-1459,Project PAIM-1459 - Railway Line Electrification,Power & Renewable Energy,Ministry of Power,GAIL,Haryana,2440.09,2853.95,2379.57,77.8,2006-03-01,2008-03-20,2008-11-05,2009-08-12,11,16.96,1
PAIM-1474,Project PAIM-1474 - Metro Line Phase II,Railways,Ministry of Railways,NTPC,Telangana,4812.51,4812.51,3697.53,67.9,2006-03-01,2011-05-04,2011-05-04,2009-08-12,0,0.3,0
